num_coeffs,device,duration(s)
1,cpu,0.000556972
44,cpu,0.001795699
1,cpu,0.000170699
44,cpu,0.001861921
1,cpu,0.00046464
44,cpu,0.00168329
1,cpu,0.000264709
31,cpu,0.002834782
1,cpu,0.000215587
31,cpu,0.002169269
1,cpu,0.000159859
31,cpu,0.001976157
1,cpu,0.000306812
31,cpu,0.001979439
1,cpu,0.00016226
31,cpu,0.002031837
1,cpu,0.000279728
37,cpu,0.002474189
1,cpu,0.000161596
45,cpu,0.001663283
1,cpu,0.000154992
31,cpu,0.001936178
1,cpu,0.000154933
31,cpu,0.002175439
1,cpu,0.000156542
31,cpu,0.002077826
1,cpu,0.000155564
31,cpu,0.002059271
1,cpu,0.000163011
31,cpu,0.002089203
1,cpu,0.000186728
31,cpu,0.00150756
1,cpu,0.000154596
31,cpu,0.002074418
1,cpu,0.000154577
31,cpu,0.001623252
1,cpu,0.00015485
31,cpu,0.002167027
1,cpu,0.000155848
31,cpu,0.001909201
1,cpu,0.000154905
33,cpu,0.001837043
1,cpu,0.000155114
71,cpu,0.001997427
1,cpu,0.000155753
31,cpu,0.001938349
1,cpu,0.000163608
31,cpu,0.001591113
1,cpu,0.000170517
31,cpu,0.001801603
1,cpu,0.000159711
31,cpu,0.00179824
1,cpu,0.00018226
31,cpu,0.001696844
1,cpu,0.00016061
31,cpu,0.002028193
1,cpu,0.000160004
31,cpu,0.001671676
1,cpu,0.00016538
31,cpu,0.00232858
1,cpu,0.000167974
31,cpu,0.003186157
1,cpu,0.000207899
31,cpu,0.002947461
1,cpu,0.000257814
37,cpu,0.00353057
1,cpu,0.000160319
45,cpu,0.001541566
1,cpu,0.000155448
31,cpu,0.001961264
1,cpu,0.000154722
31,cpu,0.001910271
1,cpu,0.000155692
31,cpu,0.001534693
1,cpu,0.000155402
31,cpu,0.002232179
1,cpu,0.000167387
31,cpu,0.002062633
1,cpu,0.000155389
31,cpu,0.001960772
1,cpu,0.000155981
31,cpu,0.00156734
1,cpu,0.00015592
37,cpu,0.001488482
1,cpu,0.000156946
31,cpu,0.002022279
1,cpu,0.000155582
31,cpu,0.001544008
1,cpu,0.000155169
31,cpu,0.00160833
1,cpu,0.000159574
31,cpu,0.00161729
1,cpu,0.000198353
31,cpu,0.002095763
1,cpu,0.000154639
31,cpu,0.002066441
1,cpu,0.000160996
31,cpu,0.001658091
1,cpu,0.000161517
31,cpu,0.001719305
1,cpu,0.000165532
31,cpu,0.002043868
1,cpu,0.000159743
37,cpu,0.00182237
1,cpu,0.000163154
45,cpu,0.002102356
1,cpu,0.000155507
31,cpu,0.001970259
1,cpu,0.000159688
31,cpu,0.002356376
1,cpu,0.000162187
31,cpu,0.001824188
1,cpu,0.000154869
31,cpu,0.001966137
1,cpu,0.000160204
31,cpu,0.001504168
1,cpu,0.000160426
31,cpu,0.001709026
1,cpu,0.000155118
31,cpu,0.001462801
1,cpu,0.000155464
31,cpu,0.001692835
1,cpu,0.000156156
31,cpu,0.002113248
1,cpu,0.000165118
31,cpu,0.002318289
1,cpu,0.000160665
33,cpu,0.001685632
1,cpu,0.00015643
71,cpu,0.002065875
1,cpu,0.000155006
31,cpu,0.001569856
1,cpu,0.000160879
31,cpu,0.001558882
1,cpu,0.000161388
